gene_type,count
protein_coding,22829
lncRNA,18806
processed_pseudogene,10809
unprocessed_pseudogene,3344
misc_RNA,2407
snRNA,2072
miRNA,1924
transcribed_unprocessed_pseudogene,1125
TEC,1114
snoRNA,1010
transcribed_processed_pseudogene,569
rRNA_pseudogene,513
IG_V_pseudogene,289
IG_V_gene,228
TR_V_gene,159
transcribed_unitary_pseudogene,154
unitary_pseudogene,104
TR_J_gene,93
polymorphic_pseudogene,78
rRNA,71
IG_D_gene,64
scaRNA,51
TR_V_pseudogene,46
pseudogene,37
IG_J_gene,24
IG_C_gene,23
Mt_tRNA,22
IG_C_pseudogene,11
TR_C_gene,8
ribozyme,8
IG_J_pseudogene,6
sRNA,6
TR_D_gene,5
TR_J_pseudogene,4
Mt_rRNA,2
translated_processed_pseudogene,2
translated_unprocessed_pseudogene,2
scRNA,1
vault_RNA,1
IG_pseudogene,1
